accident_time,weather,temperature,humidity,construction_type,process,progress_rate,worker_count,risk_index
2019-07-01 07:10:00,맑음,23.0,80.0,건축물/업무시설,"해체, 철거",20,35,1
2019-07-01 08:50:00,강우,28.0,78.0,건축물/공동주택,"해체, 철거",80,75,2
2019-07-01 09:30:00,맑음,30.0,50.0,옹벽 및 절토사면/옹벽,"해체, 철거",60,35,23
2019-07-01 10:00:00,맑음,23.0,45.0,터널/철도터널,"해체, 철거",90,35,2
2019-07-01 10:10:00,맑음,26.0,60.0,건축물/공동주택,"설비, 전기",50,200,1
2019-07-01 10:30:00,흐림,29.0,70.0,건축물/공동주택,"운반, 하역",20,75,1
2019-07-01 11:50:00,맑음,24.0,30.0,건축물/공동주택,"철근, 연결",10,75,1
2019-07-01 13:30:00,흐림,27.0,76.0,건축물/공장,기타,90,500,1
2019-07-01 13:40:00,흐림,28.0,83.0,건축물/교육연구시설,"설비, 전기",30,200,1
2019-07-01 14:00:00,맑음,28.0,50.0,건축물/판매시설,기타,60,200,3
2019-07-01 16:00:00,맑음,27.0,60.0,건축물/공장,기타,5,35,1
2019-07-01 17:00:00,흐림,31.0,95.0,건축물/공동주택,정리,30,200,1
2019-07-02 07:30:00,맑음,21.0,75.0,건축물/공동주택,"설비, 전기",50,200,1
2019-07-02 07:30:00,맑음,25.0,50.0,건축물/문화 및 집회시설,콘크리트 타설,50,19,1
2019-07-02 07:30:00,맑음,23.0,72.0,항만/기타,기타,5,19,2
2019-07-02 07:40:00,맑음,22.0,72.0,건축물/업무시설,기타,60,19,1
2019-07-02 09:10:00,맑음,25.0,85.0,환경시설/하수처리시설,"운반, 하역",20,35,1
2019-07-02 09:30:00,맑음,30.0,75.0,건축물/공동주택,기타,10,500,1
2019-07-02 10:00:00,맑음,25.0,50.0,건축물/공동주택,"설비, 전기",90,75,1
2019-07-02 10:30:00,맑음,32.5,80.0,건축물/교육연구시설,정리,30,19,1
2019-07-02 11:00:00,흐림,30.0,20.0,건축물/공동주택,"해체, 철거",10,500,3
2019-07-02 11:00:00,맑음,24.0,40.0,건축물/공동주택,"철근, 연결",90,500,1
2019-07-02 11:15:00,맑음,23.0,78.0,도로/도로,"해체, 철거",90,35,1
2019-07-02 12:00:00,맑음,26.0,63.0,건축물/공동주택,정리,60,200,1
2019-07-02 13:30:00,맑음,25.0,63.0,도로/기타,"해체, 철거",50,200,1
2019-07-02 14:00:00,맑음,29.0,36.0,도로/기타,기타,50,200,1
2019-07-02 15:30:00,맑음,30.4,76.0,건축물/근린생활시설,정리,90,19,2
2019-07-02 15:30:00,맑음,29.0,43.0,건축물/자동차 관련시설,"마감, 도장",50,200,1
2019-07-02 15:45:00,맑음,29.0,51.0,교량/철도교량,"철근, 연결",70,75,2
2019-07-03 10:10:00,흐림,24.0,64.0,건축물/업무시설,기타,30,35,1
2019-07-03 10:20:00,맑음,26.0,58.0,상하수도/하수도,기타,60,19,1
2019-07-03 10:30:00,맑음,23.0,74.0,건축물/교육연구시설,기타,60,19,1
2019-07-03 10:55:00,맑음,24.0,88.0,상하수도/하수도,"철근, 연결",50,35,1
2019-07-03 11:00:00,안개,25.0,60.0,건축물/공동주택,기타,10,200,19
2019-07-03 11:00:00,맑음,28.0,60.0,건축물/공동주택,콘크리트 타설,70,75,1
2019-07-03 11:00:00,맑음,23.0,10.0,건축물/기타,"절단, 가공",50,19,1
2019-07-03 14:10:00,맑음,30.0,50.0,건축물/공동주택,"해체, 철거",90,35,1
2019-07-03 14:30:00,흐림,30.0,20.0,건축물/공장,"철근, 연결",80,35,2
2019-07-03 14:30:00,강우,24.0,80.0,건축물/종교시설,"철근, 연결",30,75,1
2019-07-03 14:30:00,맑음,24.0,48.0,상하수도/상수도,"해체, 철거",80,19,1
2019-07-03 15:00:00,맑음,24.0,88.0,건축물/문화 및 집회시설,"절단, 가공",30,75,1
2019-07-03 15:00:00,맑음,28.0,80.0,건축물/공동주택,"철근, 연결",80,35,1
2019-07-03 15:10:00,맑음,28.0,65.0,건축물/교육연구시설,기타,60,19,2
2019-07-03 15:30:00,강우,22.0,94.0,도로/기타,"철근, 연결",80,19,1
2019-07-03 16:00:00,맑음,23.0,70.0,건축물/공장,"해체, 철거",90,500,29
2019-07-03 16:00:00,맑음,30.0,55.0,건축물/공동주택,"해체, 철거",20,500,2
2019-07-03 16:40:00,맑음,25.0,60.0,건축물/공동주택,"운반, 하역",10,200,7
2019-07-03 20:15:00,맑음,26.0,70.0,건축물/업무시설,기타,40,35,1
2019-07-04 07:30:00,흐림,22.0,40.0,건축물/근린생활시설,"운반, 하역",90,35,1
2019-07-04 07:40:00,맑음,22.0,25.0,건축물/근린생활시설,"운반, 하역",90,19,6
2019-07-04 08:00:00,맑음,26.0,75.0,건축물/공동주택,기타,70,200,1
2019-07-04 09:00:00,흐림,25.0,40.0,건축물/공장,"설비, 전기",70,19,1
2019-07-04 09:07:00,맑음,26.0,50.0,건축물/교육연구시설,"해체, 철거",10,35,1
2019-07-04 09:30:00,맑음,30.0,74.0,건축물/공동주택,"해체, 철거",10,500,1
2019-07-04 10:00:00,맑음,25.0,50.0,건축물/업무시설,"해체, 철거",50,19,1
2019-07-04 11:20:00,맑음,21.0,50.0,항만/방파제,"해체, 철거",60,19,1
